ID,Year,Month,Day,Type,Dead,Dead Perpetrator,Injured,Injured Perpetrator,Country,City,Perpetrator
1,2018,1,1,bombings,0,,8,, Pakistan,Chaman,Tehrik-i-Taliban Pakistan (suspected)
2,2018,1,1,bombing,0,,2,, Philippines,Maguindanao,Bangsamoro Islamic Freedom Fighters (suspected)
3,2018,1,1,shootings,21,,Unknown,, Nigeria,Rivers State,Fulani herdsmen (suspected)
4,2018,1,1,ambush,1,,2,, Afghanistan,Pusht Rod District,Taliban
5,2018,1,1,bombing,3,,0,, Nigeria,Madagali,Boko Haram (suspected)
6,2018,1,1,arson,0,,0,, Chile,Río Negro,Coordinadora Arauco Malleco
7,2018,1,1,shooting,2,,0,, Egypt,Giza,Islamic State (suspected)
8,2018,1,2,shooting,0,3,12,, Pakistan,Quetta,Tehrik-i-Taliban Pakistan
9,2018,1,2,suicide bombing,0,3,12,, Pakistan,Quetta,Tehrik-i-Taliban Pakistan
10,2018,1,2,shooting,1,,0,, India,Aurangabad district,CPI
11,2018,1,2,kidnapping,0,,31 abducted,, Nigeria,Borno State,Boko Haram
12,2018,1,2,car bombing,0,,3,, Afghanistan,Kabul,Islamic State (suspected)
13,2018,1,2,shooting,5,,0,, Kenya,Mandera County,Al-Shabaab
14,2018,1,3,shooting,3,,0,, Iraq,Nineveh Governorate,Islamic State
15,2018,1,3,suicide bombing,14,1,1,, Nigeria,Gamboru,Boko Haram
16,2018,1,3,bombing,0,,3,, Iraq,Al-Qa'im District,Islamic State
17,2018,1,3,shooting,1,,2,, Iraq,Kirkuk,Islamic State
18,2018,1,3,clashes,1,,2,, Iraq,Kirkuk,Islamic State
19,2018,1,3,bombing,2,,4,, Afghanistan,Washir District,Taliban
20,2018,1,4,shooting,3,,0,, Afghanistan,Farah Province,Taliban
21,2018,1,4,suicide bombing,20,1,30,, Afghanistan,Kabul,Islamic State
22,2018,1,5,ambush,0,,6,, Myanmar,Rakhine State,Arakan Rohingya Salvation Army
23,2018,1,5,bombing,1,,2,, Somalia,Buloburde District,Al-Shabaab
24,2018,1,5,shooting,2,,0,, Somalia,Mogadishu,Al-Shabaab
25,2018,1,5,shooting,2,,0,, Somalia,Afgooye District,Al-Shabaab (suspected)
26,2018,1,6,arson,0,,0,, India,Balrampur district and Latehar district,CPI
27,2018,1,6,bombings,0,,0,, India,Balrampur district and Latehar district,CPI
28,2018,1,6,shooting,1,,0,, India,Bastar district,CPI
29,2018,1,6,bombing,4,,2,, India,Sopore,Jaish-e-Mohammed
30,2018,1,6,shooting,14,,7,, Senegal,Casamance,Movement of Democratic Forces of Casamance (suspected)
31,2018,1,6,executions,14,,7,, Senegal,Casamance,Movement of Democratic Forces of Casamance (suspected)
32,2018,1,7,bombing,1,,7,, Iraq,Baghdad,Islamic State (suspected)
33,2018,1,7,bombing,1,,1,, Iraq,Al-Qa'im District,Islamic State
34,2018,1,7,car bombings,34,,70,, Syria,Idlib,Unknown
35,2018,1,7,shooting,3,,8,, Afghanistan,Kunar Province,Islamic State
36,2018,1,7,shooting,9,,20,, Afghanistan,Urozgan Province,Taliban
37,2018,1,8,shooting,1,,0,, Cameroon,Far North Region,Boko Haram
38,2018,1,8,grenade attack,0,,2,, Somalia,Hiran,Al-Shabaab
39,2018,1,8,shooting,20,,15,, Nigeria,Borno State,Boko Haram
40,2018,1,8,kidnapping,20,,15,, Nigeria,Borno State,Boko Haram
41,2018,1,9,bombing,0,,3,, Somalia,Mogadishu,Al-Shabaab
42,2018,1,9,suicide bombing,7,1,23,, Pakistan,Quetta,Tehrik-i-Taliban Pakistan
43,2018,1,9,shooting,1,,0,, West Bank,Havat Gilad,Hamas
44,2018,1,9,bombing,1,,3,, Philippines,Datu Unsay,Bangsamoro Islamic Freedom Fighters
45,2018,1,10,bombing,0,,1,, Iraq,Miqdadiyah,Islamic State
46,2018,1,10,bombing,0,,6,, Thailand,Nong Chik District,Barisan Revolusi Nasional (suspected)
47,2018,1,10,suicide car bombing,3,1,3,, Yemen,Shabwah Governorate,Al-Qaeda in the Arabian Peninsula (suspected)
48,2018,1,10,shooting,3,,0,, Cameroon,Far North Region,Boko Haram
49,2018,1,10,shooting,5,,2,, Afghanistan,Kunduz Province,Taliban
50,2018,1,10,shooting,1,,0,, Colombia,Arauca Department,ELN
51,2018,1,10,stabbing,1,,0,, United States,Orange County,Atomwaffen Division
52,2018,1,11,suicide bombing,0,1,3,, Mali,Ménaka Region,Islamic State
53,2018,1,11,shooting,6,,0,, Afghanistan,Nawa-I-Barakzayi District,Taliban
54,2018,1,11,stabbing,0,,4,, France,Vendin-le-Vieil,Al-Qaeda
55,2018,1,11,mortar attack,1,,Several,, Somalia,Mogadishu,Al-Shabaab
56,2018,1,11,suicide bombings,0,2,2,, Cameroon,Amchide,Boko Haram
57,2018,1,11,shootings,4,,3,, Cameroon,Far North Region,Boko Haram
58,2018,1,11,kidnapping,4,,3,, Cameroon,Far North Region,Boko Haram
59,2018,1,12,shooting,3,,0,, Afghanistan,Farah Province,Taliban
60,2018,1,12,shooting,3,,1,, Iraq,Kirkuk Governorate,Islamic State
61,2018,1,12,arson,0,,0,, Chile,Santiago,Conspiración de las Células Negras
62,2018,1,12,petrolbombing,0,,0,, Chile,Santiago,Conspiración de las Células Negras
63,2018,1,12,suicide bombing,2,1,6,, Afghanistan,Chaghcharan,Taliban (suspected)
64,2018,1,12,assassination,1,,0,, Paraguay,Tacuatí,Paraguayan People's Army
65,2018,1,13,suicide bombing,8,1,24,, Iraq,Baghdad,Islamic State
66,2018,1,13,shooting,1,,5,, Kenya,Lamu County,Al-Shabaab
67,2018,1,13,arson,1,,5,, Kenya,Lamu County,Al-Shabaab
68,2018,1,13,shooting,7,,0,, Mozambique,Palma District,Islamists
69,2018,1,13,arson,7,,0,, Mozambique,Palma District,Islamists
70,2018,1,13,shooting,1,,0,, Egypt,North Sinai Governorate,Islamic State (suspected)
71,2018,1,13,kidnapping,0,,1,, Colombia,Saravena,ELN
72,2018,1,14,bombing,0,,5,, Somalia,Mogadishu,Al-Shabaab
73,2018,1,14,shooting,2,,0,, Somalia,Middle Shebelle,Al-Shabaab
74,2018,1,14,missile attack,1,,3,, Turkey,Hakkâri Province,PKK
75,2018,1,14,bombings,4,,0,, Iraq,Al Zab,PKK
76,2018,1,14,shooting,1,,0,, Egypt,Sinai Peninsula,Islamic State
77,2018,1,14,shooting,6,,4,, Afghanistan,Qaysar District,Taliban
78,2018,1,14,ambush,7,,3,, Afghanistan,Farah Province,Taliban
79,2018,1,15,suicide bombings,38,2,105,, Iraq,Baghdad,Islamic State
80,2018,1,15,shooting,4,,0,, Cameroon,Mayo-Tsanaga,Boko Haram
81,2018,1,15,arson,4,,0,, Cameroon,Mayo-Tsanaga,Boko Haram
82,2018,1,15,shooting,3,,5,, Democratic Republic of Congo,North Kivu,Allied Democratic Forces
83,2018,1,15,ambush,5,,6,, Pakistan,Kech District,Baluch Liberation Front
84,2018,1,15,shooting,6,,5,, Nigeria,Borno State,Boko Haram
85,2018,1,15,kidnapping,6,,5,, Nigeria,Borno State,Boko Haram
86,2018,1,15,shooting,3,2,2,, Nigeria,Adamawa State,Boko Haram
87,2018,1,16,shooting,1,,0,, Pakistan,Quetta,Tehrik-i-Taliban Pakistan
88,2018,1,16,shooting,1,,0,, Kosovo,North Mitrovica,Kosovo Albanian Militants (suspected)
89,2018,1,16,mortar attack,5,,45,, Afghanistan,Khwaja Sabz Posh District,Taliban
90,2018,1,16,execution,1,,0,, Afghanistan,Mohammad Agha District,Taliban
91,2018,1,16,suicide bombing,0,3,0,, Pakistan,Karachi,Tehrik-i-Taliban Pakistan
92,2018,1,16,shooting,0,3,0,, Pakistan,Karachi,Tehrik-i-Taliban Pakistan
93,2018,1,16,suicide bombing,2,1,12,, Cameroon,Far North Region,Boko Haram
94,2018,1,17,arsons,0,,1,, Chile,La Araucania Region,Coordinadora Arauco Malleco
95,2018,1,17,shooting,0,,1,, Chile,La Araucania Region,Coordinadora Arauco Malleco
96,2018,1,17,shooting,0,,1,, Iraq,Baqubah,Islamic State
97,2018,1,17,bombing,2,,7,, Iraq,Diyala Governorate,Islamic State
98,2018,1,17,suicide bombings,12,2,65,, Nigeria,Maiduguri,Boko Haram
99,2018,1,17,shooting,7,,10,, Niger,Toumour,Boko Haram
100,2018,1,17,bombing,0,,6,, Colombia,Mesetas,FARC dissidents
101,2018,1,17,bombing,1,,4,, Egypt,North Sinai Governorate,Islamic State
102,2018,1,17,shooting,0,1,2,, West Bank,Jenin,Hamas
103,2018,1,17,shootings,8,,0,, Afghanistan,Farah Province,Taliban
104,2018,1,18,shooting,2,,0,, Pakistan,Quetta,Islamic State
105,2018,1,18,shooting,8,,2,, Afghanistan,Helmand Province,Taliban
106,2018,1,18,shooting,5,,0,, Nigeria,Adamawa State,Boko Haram
107,2018,1,19,bombings,0,,0,, Philippines,Maguindanao,Bangsamoro Islamic Freedom Fighters
108,2018,1,19,shooting,1,,0,, Thailand,Ra-ngae District,Barisan Revolusi Nasional
109,2018,1,19,bombing,1,,2,, Colombia,Teorama,ELN
110,2018,1,19,grenade attack,0,,8,, India,Pulwama,Jaish-e-Mohammed (suspected)
111,2018,1,19,vehicular attack,0,,3,, West Bank,Qasr el Yahud,Palestinian nationalist
112,2018,1,19,shooting,22,,20,, Democratic Republic of Congo,North Kivu,Allied Democratic Forces
113,2018,1,20,grenade attack,0,,0,, India,Shopian district,Lashkar-e-Taiba (suspected)
114,2018,1,20,bombing,0,,1,, India,Dantewada district,CPI
115,2018,1,20,shooting,18,,0,, Afghanistan,Balkh Province,Taliban
116,2018,1,20,shooting,40,6,22,, Afghanistan,Kabul,Taliban and Haqqani Network
117,2018,1,20,arson,40,6,22,, Afghanistan,Kabul,Taliban and Haqqani Network
118,2018,1,20,hostage taking,40,6,22,, Afghanistan,Kabul,Taliban and Haqqani Network
119,2018,1,21,shooting,6,1,0,, Colombia,Yarumal,ELN
120,2018,1,21,bombing,12,,1,, Afghanistan,Gulran District,Taliban
121,2018,1,21,bombing,4,,3,, Afghanistan,Nahri Saraj District,Taliban
122,2018,1,21,shooting,7,,1,, Afghanistan,Garmsir District,Taliban
123,2018,1,21,shooting,1,,0,, Pakistan,Quetta,Tehrik-i-Taliban Pakistan
124,2018,1,21,shooting,3,,0,, Democratic Republic of Congo,North Kivu,Allied Democratic Forces
125,2018,1,21,shooting,1,,0,, Colombia,Arauca Department,FARC dissidents
126,2018,1,21,arson,1,,0,, Colombia,Arauca Department,FARC dissidents
127,2018,1,22,bombing,3,,34,, Thailand,Yala,Barisan Revolusi Nasional (suspected)
128,2018,1,22,bombing,2,,4,, Iraq,Rawah District,Islamic State
129,2018,1,22,grenade attack,0,,1,, India,Pampore,Jaish-e-Mohammed (suspected)
130,2018,1,22,grenade attack,0,,1,, India,Baramulla,Lashkar-e-Taiba (suspected)
131,2018,1,23,bombing,4,,6,, Somalia,Banaadir,Al-Shabaab
132,2018,1,23,car bombings,41,,80,, Libya,Benghazi,Islamic State (suspected)
133,2018,1,23,shooting,2,,2,, Philippines,Pinukpuk,New People's Army
134,2018,1,23,shooting,1,,0,, Philippines,Tabuk,New People's Army
135,2018,1,24,shooting,6,,27,, Afghanistan,Jalalabad,Islamic State
136,2018,1,24,suicide car bombing,6,,27,, Afghanistan,Jalalabad,Islamic State
137,2018,1,24,shooting,4,,7,, India,Narayanpur district,CPI
138,2018,1,24,shooting,2,1,0,, Mali,Toubakoro,Al-Qaeda in the Islamic Maghreb (suspected)
139,2018,1,24,shooting,1,2,2,, India,Shopian district,Hizbul Mujahideen
140,2018,1,24,rocket attack,2,,11,, Turkey,Kilis,YPG / PKK
141,2018,1,25,car bombing,0,,0,, Iraq,Daquq,Islamic State
142,2018,1,25,bombing,26,,Several,, Mali,Mopti Region,Islamic State (suspected)
143,2018,1,25,shooting,2,7,0,, Mali,Youwarou,Al-Qaeda in the Islamic Maghreb (suspected)
144,2018,1,25,bombing,2,,1,, Philippines,Datu Piang,Bangsamoro Islamic Freedom Fighters
145,2018,1,25,shooting,1,,2,, Philippines,Davao City,New People's Army
146,2018,1,25,bombing,1,,2,, Philippines,Davao City,New People's Army
147,2018,1,26,rocket attack,7,,3,, Afghanistan,Ghazni Province,Taliban
148,2018,1,26,suicide car bombing,4,1,13,, Afghanistan,Kandahar,Taliban
149,2018,1,26,grenade attack,0,,0,, India,Pulwama district,Jaish-e-Mohammed (suspected)
150,2018,1,26,shooting,3,1,5,, Nigeria,Adamawa State,Boko Haram
151,2018,1,26,suicide bombing,3,1,5,, Nigeria,Adamawa State,Boko Haram
152,2018,1,27,suicide car bombing,0,1,6,, Afghanistan,Nad Ali District,Taliban
153,2018,1,27,suicide car bombing,103,,235,, Afghanistan,Kabul,Taliban
154,2018,1,27,shooting,14,2,22,, Mali,Soumpi,Al-Qaeda in the Islamic Maghreb (suspected)
155,2018,1,27,car bombing,0,,28,, Ecuador,San Lorenzo,FARC dissidents
156,2018,1,27,bombing,6,,41,, Colombia,Barranquilla,ELN
157,2018,1,27,bombing,2,,1,, Colombia,Santa Rosa del Sur,ELN
158,2018,1,27,bombing,2,,3,, Kenya,Garissa County,Al-Shabaab
159,2018,1,27,shooting,2,,3,, Kenya,Garissa County,Al-Shabaab
160,2018,1,27,shooting,1,,0,, Somalia,Wanlaweyn District,Al-Shabaab
161,2018,1,27,rocket attack,0,,2,, Turkey,Kilis,YPG / PKK
162,2018,1,28,rocket attack,5,,Several,, Mali,Ménaka,Islamic State
163,2018,1,28,shooting,5,,Several,, Mali,Ménaka,Islamic State
164,2018,1,28,bombing,0,,5,, Colombia,Soledad,ELN
165,2018,1,28,kidnapping,1,,0,, Philippines,San Miguel,New People's Army
166,2018,1,28,execution,1,,0,, Philippines,San Miguel,New People's Army
167,2018,1,29,shooting,11,4,16,, Afghanistan,Kabul,Islamic State
168,2018,1,29,suicide bombings,11,4,16,, Afghanistan,Kabul,Islamic State
169,2018,1,29,shooting,2,,0,, Burkina Faso,Baraboulé Department,Al-Qaeda in the Islamic Maghreb (suspected)
170,2018,1,29,shooting,1,,3,, Iraq,Hawija District,Islamic State
171,2018,1,29,bombing,1,,1,, Iraq,Kirkuk Governorate,Islamic State
172,2018,1,29,shooting,2,,0,, Niger,Diffa Department,Boko Haram
173,2018,1,29,ambush,4,,0,, Somalia,Bay,Al-Shabaab
174,2018,1,30,bombing,8,,1,, Pakistan,Kurram Agency,Tehrik-i-Taliban Pakistan (suspected)
175,2018,1,30,shooting,5,,4,, Nigeria,Borno State,Boko Haram
176,2018,1,30,shooting,3,,0,, Colombia,Santacruz de Guachavez,ELN
177,2018,1,30,suicide car bombing,22,1,Several,, Yemen,Shabwah Governorate,Al-Qaeda in the Arabian Peninsula
178,2018,1,30,bombing,0,,2,, Iraq,Mosul,Islamic State
179,2018,1,30,bombing,1,,3,, Somalia,Bari,Al-Shabaab
